customer_id,order_placement_date,InFull,OnTime,OnTimeInFull,TargetInFull,TargetOnTime,TargetOnTimeInFull
789101.0,2022-03-01,90.0,80.0,90.0,86.0,80.0,69.0
789101.0,2022-03-02,75.0,87.5,75.0,86.0,80.0,69.0
789101.0,2022-03-03,70.0,100.0,70.0,86.0,80.0,69.0
789101.0,2022-03-04,90.9090909090909,90.9090909090909,90.9090909090909,86.0,80.0,69.0
789101.0,2022-03-05,33.33333333333333,83.33333333333334,33.33333333333333,86.0,80.0,69.0
789101.0,2022-03-06,71.42857142857143,100.0,71.42857142857143,86.0,80.0,69.0
789101.0,2022-03-07,62.5,75.0,62.5,86.0,80.0,69.0
789101.0,2022-03-08,80.0,60.0,80.0,86.0,80.0,69.0
789101.0,2022-03-09,76.92307692307693,76.92307692307693,76.92307692307693,86.0,80.0,69.0
789101.0,2022-03-10,88.88888888888889,88.88888888888889,88.88888888888889,86.0,80.0,69.0
789101.0,2022-03-11,90.9090909090909,81.81818181818183,90.9090909090909,86.0,80.0,69.0
789101.0,2022-03-12,100.0,66.66666666666666,100.0,86.0,80.0,69.0
789101.0,2022-03-13,80.0,90.0,80.0,86.0,80.0,69.0
789101.0,2022-03-14,66.66666666666666,77.77777777777779,66.66666666666666,86.0,80.0,69.0
789101.0,2022-03-15,88.88888888888889,88.88888888888889,88.88888888888889,86.0,80.0,69.0
789101.0,2022-03-16,37.5,87.5,37.5,86.0,80.0,69.0
789101.0,2022-03-17,92.85714285714286,100.0,92.85714285714286,86.0,80.0,69.0
789101.0,2022-03-18,63.63636363636363,63.63636363636363,63.63636363636363,86.0,80.0,69.0
789101.0,2022-03-19,75.0,100.0,75.0,86.0,80.0,69.0
789101.0,2022-03-20,66.66666666666666,77.77777777777779,66.66666666666666,86.0,80.0,69.0
789101.0,2022-03-21,63.63636363636363,90.9090909090909,63.63636363636363,86.0,80.0,69.0
789101.0,2022-03-22,60.0,40.0,60.0,86.0,80.0,69.0
789101.0,2022-03-23,83.33333333333334,50.0,83.33333333333334,86.0,80.0,69.0
789101.0,2022-03-24,87.5,87.5,87.5,86.0,80.0,69.0
789101.0,2022-03-25,72.72727272727273,90.9090909090909,72.72727272727273,86.0,80.0,69.0
789101.0,2022-03-26,60.0,80.0,60.0,86.0,80.0,69.0
789101.0,2022-03-27,40.0,100.0,40.0,86.0,80.0,69.0
789101.0,2022-03-28,70.0,80.0,70.0,86.0,80.0,69.0
789101.0,2022-03-29,64.28571428571429,85.71428571428571,64.28571428571429,86.0,80.0,69.0
789101.0,2022-03-30,50.0,66.66666666666666,50.0,86.0,80.0,69.0
789101.0,2022-03-31,75.0,100.0,75.0,86.0,80.0,69.0
789101.0,2022-04-01,55.55555555555556,88.88888888888889,55.55555555555556,86.0,80.0,69.0
789101.0,2022-04-02,77.77777777777779,88.88888888888889,77.77777777777779,86.0,80.0,69.0
789101.0,2022-04-03,90.9090909090909,72.72727272727273,90.9090909090909,86.0,80.0,69.0
789101.0,2022-04-04,71.42857142857143,85.71428571428571,71.42857142857143,86.0,80.0,69.0
789101.0,2022-04-05,83.33333333333334,100.0,83.33333333333334,86.0,80.0,69.0
789101.0,2022-04-06,64.28571428571429,85.71428571428571,64.28571428571429,86.0,80.0,69.0
789101.0,2022-04-07,75.0,87.5,75.0,86.0,80.0,69.0
789101.0,2022-04-08,81.81818181818183,81.81818181818183,81.81818181818183,86.0,80.0,69.0
789101.0,2022-04-09,88.88888888888889,77.77777777777779,88.88888888888889,86.0,80.0,69.0
789101.0,2022-04-10,66.66666666666666,100.0,66.66666666666666,86.0,80.0,69.0
789101.0,2022-04-11,90.9090909090909,100.0,90.9090909090909,86.0,80.0,69.0
